"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89","G90","G91","G92","G93","G94","G95","G96","G97","G98","G99","G100","G101","G102","G103","G104","G105","G106","G107","G108","G109","G110","G111","G112","G113","G114","G115","G116","G117","G118","G119","G120","G121","G122","G123","G124","G125","G126","G127","G128","G129","G130","G131","G132","G133","G134","G135","G136","G137","G138","G139","G140","G141","G142","G143","G144","G145","G146","G147","G148","G149","G150","G151","G152","G153","G154","G155","G156","G157","G158","G159","G160","G161","G162","G163","G164","G165","G166","G167","G168","G169","G170","G171","G172","G173","G174","G175","G176","G177","G178","G179","G180","G181","G182","G183","G184","G185","G186","G187","G188","G189","G190","G191","G192","G193","G194","G195","G196","G197","G198","G199","G200","G201","G202","G203","G204","G205","G206","G207","G208","G209","G210","G211","G212","G213","G214","G215","G216","G217","G218","G219"
"А","1100.1","1100.2","1100.4","1105.1","1105.2","1105.3","1105.4","1106.1","1106.2","1106.3","1106.4","1107.1","1107.2","1107.3","1107.4","1108.1","1108.2","1108.3","1108.4","1109.1","1109.2","1109.3","1109.4","1110.1","1110.2","1110.3","1110.4","1120.1","1120.2","1120.3","1120.4","1130.1","1135.1","1135.2","1135.3","1135.4","1136.1","1136.2","1136.3","1136.4","1137.1","1137.2","1137.3","1137.4","1138.1","1138.2","1138.3","1138.4","1140.1","1144.1","1144.2","1144.3","1144.4","1145.1","1145.2","1145.3","1145.4","1146.1","1146.2","1146.3","1146.4","1147.1","1147.2","1147.3","1147.4","1150.1","1150.2","1150.3","1150.4","1160.1","1160.2","1160.3","1160.4","1170.1","1170.2","1170.4","1180.1","1180.2","1180.4","1190.1","1190.2","1190.4","1200.1","1200.2","1200.4","1220.1","1220.2","1220.4","1230.1","1230.2","1230.4","1240.1","1240.2","1240.4","1300.1","1300.2","1300.4","1350.1","1350.2","1350.4","2100-01-01 00:00:00","2100-02-01 00:00:00","2100-04-01 00:00:00","2110-01-01 00:00:00","2110-02-01 00:00:00","2110-04-01 00:00:00","2120-01-01 00:00:00","2120-02-01 00:00:00","2120-04-01 00:00:00","2130-01-01 00:00:00","2130-02-01 00:00:00","2130-04-01 00:00:00","2140-01-01 00:00:00","2140-02-01 00:00:00","2140-04-01 00:00:00","2150-01-01 00:00:00","2150-02-01 00:00:00","2150-04-01 00:00:00","2160-01-01 00:00:00","2160-02-01 00:00:00","2160-04-01 00:00:00","2170-01-01 00:00:00","2170-02-01 00:00:00","2170-04-01 00:00:00","2180-01-01 00:00:00","2180-02-01 00:00:00","2180-04-01 00:00:00","2200-01-01 00:00:00","2200-02-01 00:00:00","2200-04-01 00:00:00","2300-01-01 00:00:00","2300-02-01 00:00:00","2300-04-01 00:00:00","3100-01-01 00:00:00","3100-02-01 00:00:00","3100-04-01 00:00:00","3110-01-01 00:00:00","3110-02-01 00:00:00","3110-04-01 00:00:00","3115-01-01 00:00:00","3115-02-01 00:00:00","3115-04-01 00:00:00","3120-01-01 00:00:00","3120-02-01 00:00:00","3120-04-01 00:00:00","3200-01-01 00:00:00","3200-02-01 00:00:00","3200-04-01 00:00:00","3300-03-01 00:00:00","3400-04-01 00:00:00","4010-01-01 00:00:00","4010-02-01 00:00:00","4010-03-01 00:00:00","4010-04-01 00:00:00","4010-05-01 00:00:00","4010-06-01 00:00:00","4010-07-01 00:00:00","4599-01-01 00:00:00","4599-02-01 00:00:00","4599-03-01 00:00:00","4599-04-01 00:00:00","4599-05-01 00:00:00","4599-06-01 00:00:00","4599-07-01 00:00:00","4599-08-01 00:00:00","4599-09-01 00:00:00","4599-10-01 00:00:00","4600-01-01 00:00:00","4600-02-01 00:00:00","4600-03-01 00:00:00","4600-04-01 00:00:00","4600-05-01 00:00:00","4600-06-01 00:00:00","4600-07-01 00:00:00","4800-01-01 00:00:00","4800-03-01 00:00:00","4800-07-01 00:00:00","4800-08-01 00:00:00","4800-10-01 00:00:00","4810-01-01 00:00:00","4810-03-01 00:00:00","4810-07-01 00:00:00","4810-08-01 00:00:00","4810-10-01 00:00:00","4900-01-01 00:00:00","4900-03-01 00:00:00","4900-04-01 00:00:00","4900-05-01 00:00:00","4900-06-01 00:00:00","4900-07-01 00:00:00","5000-01-01 00:00:00","5000-02-01 00:00:00","5000-03-01 00:00:00","5000-04-01 00:00:00","5000-05-01 00:00:00","5000-06-01 00:00:00","5000-07-01 00:00:00","5300-01-01 00:00:00","5300-02-01 00:00:00","5300-03-01 00:00:00","5300-04-01 00:00:00","5300-05-01 00:00:00","5300-06-01 00:00:00","5300-07-01 00:00:00","5300-08-01 00:00:00","5300-09-01 00:00:00","5300-10-01 00:00:00","6000-01-01 00:00:00","6000-02-01 00:00:00","7000-01-01 00:00:00","7000-02-01 00:00:00","8290-01-01 00:00:00","8290-02-01 00:00:00","8290-03-01 00:00:00","8290-04-01 00:00:00","8290-05-01 00:00:00","8290-06-01 00:00:00","8300-01-01 00:00:00","8300-02-01 00:00:00","8300-03-01 00:00:00"
"Республика Адыгея","########","########","3 414","902 260","897 473","########","1 267","28 732","32 617","684 858","83","217 584","200 816","2 868 796","45","1 736","1 736","26 542","2","0","0","0","0","3 335 441","3 334 644","########","393","31 068","31 068","341 753","12","-34","########","########","########","993","########","########","########","948","234 369","234 369","1 299 681","41","0","0","0","0","0","0","0","0","0","241 570","241 205","1 447 175","35","846","846","19 626","2","0","0","0","0","31 286","31 264","151 633","37","8 526 527","8 535 436","########","1 413","2 025 267","1 986 625","496","0","0","0","2 130 011","2 087 024","791","11 221","11 217","72","0","0","0","849","849","8","62","62","2","407","390","4","0","0","1","########","########","2 311","########","########","2 053","7 550 433","7 548 418","88","827 699","827 746","37","1 764 503","1 689 506","458","30 197","30 197","32","5 276 856","5 290 985","1 232","6 631","6 631","16","1","1","1","0","0","0","54 242","54 242","18","########","9 888 493","3 412","0","0","0","0","0","0","812 330","813 067","47","1 084 756","1 084 679","41","1 862 322","0","########","707 433","2 586 321","1 991 951","438 229","59 801","2 088 291","0","0","0","0","0","0","0","0","0","0","760 474","2 412","167 425","21 396","4 707","1 147","161 571","0","0","0","0","0","0","0","0","0","0","########","2 753 746","2 013 347","442 936","60 948","2 249 862","373 449","29 535","83 636","2 996","659","1 302","81 675","780","0","172","0","0","0","172","1","0","0","0","623","373 449","30 158","222","0","0","1","0","0","1 862 322","17 427","54 043"
"Республика Башкортостан","########","########","38 439","4 992 593","4 944 352","########","7 908","129 821","130 182","2 733 808","428","597 108","598 284","8 546 921","179","54 113","53 445","816 939","15","0","0","0","0","########","########","########","3 225","32 983","31 473","346 102","51","440","########","########","########","15 673","########","########","########","13 878","995 612","995 612","5 520 653","266","0","0","0","0","0","0","0","0","0","1 527 411","1 559 006","9 366 463","319","63 167","63 167","139 660","13","3 002","3 002","43 330","7","1 232 479","1 215 653","5 864 343","174","########","########","########","16 356","########","########","8 527","387 724","387 705","20","########","########","12 555","205 260","203 476","2 493","0","0","0","157","294","22","79","79","4","22 791","35 629","38","197","197","8","########","########","31 073","########","########","29 568","4 614 897","4 648 320","748","1 192 743","1 132 529","338","########","########","7 512","1 216 770","1 210 254","163","########","########","14 955","137 519","138 977","337","941","941","9","1 203","1 203","5","9 929 397","9 944 983","102","########","########","39 753","0","0","0","0","0","0","########","########","298","9 342 414","9 357 326","356","########","0","########","9 725 337","########","########","6 934 533","2 346 125","########","84 202","1 031","18 576","75 101","16 522","12 293","-10 239","3","1","0","########","223 157","########","########","4 653 230","21 162","5 368 924","0","0","0","0","0","0","0","0","0","0","########","########","########","########","2 367 287","########","5 631 528","372 928","1 257 582","397 578","87 469","8 907","1 161 206","0","0","0","0","0","0","0","0","0","0","1 795 506","122 492","7 427 034","495 420","508","2 377","0","2","1","0","########","115 609","9 913 462"
"Республика Бурятия","########","########","7 332","3 280 939","3 222 248","########","3 892","99 916","98 691","2 072 520","206","458 530","450 844","6 440 192","144","4 584","4 584","70 073","2","0","0","0","0","5 242 317","5 217 371","########","785","1 484","1 331","14 636","6","0","########","########","########","1 582","########","########","########","1 474","74 657","74 657","419 076","38","0","0","0","0","0","0","0","0","0","100 783","76 501","459 008","35","0","0","0","0","0","0","0","0","86 856","86 856","418 063","28","########","########","########","2 013","7 968 673","7 940 800","555","463 010","463 102","3","9 124 562","9 026 304","1 224","17 002","16 962","276","0","0","0","209","209","3","0","0","0","26","26","2","7","7","1","########","########","4 155","########","########","3 707","712 260","713 688","132","117 871","117 871","26","6 051 331","6 012 705","509","86 818","86 818","27","9 482 598","9 458 191","1 624","10 584","10 542","32","0","0","0","0","0","0","4 768 992","4 736 737","41","########","########","7 340","0","0","0","0","0","0","8 242 292","8 299 734","173","432 617","432 208","36","########","0","########","5 200 440","5 644 374","4 234 506","931 591","883 913","3 828 870","0","0","0","0","0","0","0","0","0","0","########","175 122","2 897 783","9 958 089","2 190 780","62 161","644 842","0","0","0","0","0","0","0","0","0","0","########","8 542 157","########","3 122 371","946 074","4 473 712","1 928 264","309 863","439 711","183 655","40 405","332","398 974","25 200","0","5 544","25 200","5 544","0","0","1","0","0","121 604","2 075","2 049 868","311 938","0","0","0","0","0","0","########","148 679","4 736 578"
"Республика Алтай","########","########","1 460","295 443","292 452","5 849 588","562","7 055","7 064","148 337","29","38 689","38 689","552 698","13","0","0","0","0","0","0","0","0","600 848","600 438","6 004 379","161","608","608","6 683","2","0","7 419 896","7 394 109","########","442","5 231 892","5 231 892","########","404","20 854","20 854","112 658","7","0","0","0","0","0","0","0","0","0","31 142","30 599","183 594","9","0","0","0","0","0","0","0","0","864","864","4 216","3","4 270 954","4 278 429","########","505","1 366 912","1 440 089","183","0","0","0","1 426 484","1 498 029","346","304","7 084","28","0","0","0","22","22","1","0","0","0","6 423","365","1","0","0","0","########","########","936","########","########","856","72 632","72 632","15","12 641","5 797","6","1 345 290","1 340 303","167","864","864","2","3 318 724","3 319 380","389","-6 680","69","5","0","0","0","5 701","0","0","247 423","244 167","24","3 266 284","3 183 243","1 424","0","0","0","0","0","0","3 450 655","3 509 224","53","1 793 849","1 814 678","19","########","0","2 000 396","918 454","486 009","319 183","70 220","52 415","363 374","0","0","0","0","0","0","0","0","0","0","2 187 431","118","481 241","248 306","54 627","149","426 465","0","0","0","0","0","0","0","0","0","0","4 187 827","967 250","567 489","124 847","52 564","789 839","388 359","327 702","101 824","10 131","2 229","468","99 127","4 473","0","984","0","0","0","984","2","0","0","1 196 453","0","1 584 812","327 702","47 465","5 743","0","3","1","0","########","6 024","237 964"
"Республика Дагестан","########","########","10 124","3 270 912","3 192 293","########","4 659","202 330","202 013","4 242 273","416","282 492","282 494","4 035 638","82","5 006","5 006","76 527","3","0","0","0","0","3 858 542","3 791 227","########","732","46 091","44 199","486 188","24","0","########","########","########","2 534","########","########","########","2 238","84 265","84 265","467 290","66","0","0","0","0","0","0","0","0","0","122 418","121 947","731 685","63","3 771","3 771","70 652","9","1 316","1 316","27 417","4","29 819","29 819","142 773","15","7 698 951","7 617 754","########","2 285","3 362 868","3 327 383","1 070","0","0","0","3 624 385","3 585 185","1 531","53 394","54 233","84","0","0","0","24","24","1","0","0","0","1","0","1","0","0","7","########","########","5 776","########","########","5 385","905 939","904 638","163","160 096","158 996","54","2 836 762","2 795 177","981","28 991","28 991","12","7 693 347","7 579 828","1 761","45 890","45 841","23","378","378","1","0","0","0","43 174","44 641","8","########","########","10 181","0","0","0","0","0","0","596 553","600 044","21","524 409","524 595","33","7 436 143","0","########","3 130 650","5 069 608","4 845 560","1 066 023","840 584","3 163 001","116 289","5 314","25 849","258 990","56 978","10","-31 139","11","3","0","381 984","86 801","88 376","83 603","18 393","1 009","68 974","0","0","0","0","0","0","0","0","0","0","########","5 157 984","4 929 163","1 084 416","841 593","3 231 975","1 117 120","57 213","248 629","29 257","6 438","2 279","239 912","79 554","0","17 502","19 950","4 389","252","12 861","15","0","0","37 879","280","1 154 999","57 493","7 512","23 226","0","3","4","0","7 436 143","53 546","44 642"
"Республика Ингушетия","8 824 988","8 592 939","1 216","245 942","237 532","4 750 631","322","9 868","9 868","207 230","15","20 521","20 521","293 159","5","0","0","0","0","0","0","0","0","360 056","334 286","3 342 873","88","13","13","141","3","2","3 572 545","3 482 940","########","472","2 085 314","2 085 314","9 479 191","348","187 283","187 283","1 037 368","11","0","0","0","0","0","0","0","0","0","247 032","246 774","1 474 940","12","14 901","15 187","109 029","2","0","0","0","0","2 317","2 317","11 365","2","1 480 258","1 394 514","8 493 527","284","602 350","586 906","152","85","85","1","613 845","591 585","190","273","273","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7 932 067","7 674 916","914","6 045 196","5 889 103","858","81 025","66 973","18","612","612","2","739 326","661 357","130","2 317","2 317","2","1 063 590","1 054 554","210","0","0","0","0","0","0","0","0","0","4 580","4 580","3","930 907","942 088","1 202","0","0","0","0","0","0","40 540","26 619","8","1 418","4 449","4","39 996","0","495 647","51 486","111 616","182 186","40 081","58 110","13 425","0","0","0","0","0","0","0","0","0","0","16 598","544","3 679","0","0","0","3 679","0","0","0","0","0","0","0","0","0","0","512 245","115 295","182 186","40 081","58 110","17 104","104 872","0","23 072","0","0","0","23 072","97 074","0","21 356","0","0","0","21 356","2","0","0","736","10 908","105 608","10 908","0","6 310","0","0","2","0","39 996","26 543","4 580"
"Кабардино-Балкарская Республика","########","########","3 721","446 751","434 450","8 797 967","735","31 995","31 967","670 765","70","64 018","61 181","874 021","17","0","0","0","0","0","0","0","0","4 373 898","4 338 530","########","937","9 302","8 974","94 041","15","92","########","########","########","1 273","8 518 540","8 518 540","########","1 181","18 160","18 160","100 704","40","0","0","0","0","0","0","0","0","0","4 353","16 041","96 245","29","570","570","1","2","0","0","0","0","23 025","23 025","110 815","7","3 582 077","3 584 172","########","1 071","1 316 944","1 315 507","564","112","112","1","1 567 746","1 566 999","807","9 326","8 853","33","0","0","0","575","575","3","5 966","5 966","2","1 173","1 173","2","0","0","0","########","########","2 837","########","########","2 722","494 423","496 676","68","61 941","64 063","30","1 280 956","1 266 385","558","21 789","21 789","6","3 252 165","3 204 797","857","4 041","4 041","7","0","0","0","0","0","0","2 070","2 070","9","5 505 474","5 196 600","3 702","0","0","0","0","0","0","457 521","458 556","46","75 073","75 474","29","1 411 647","0","6 796 397","1 201 238","1 555 268","1 391 507","306 133","169 533","1 079 602","0","0","0","0","0","0","0","0","0","0","329 793","7 179","72 914","50 572","11 126","50 572","11 216","0","0","0","0","0","0","0","0","0","0","7 126 190","1 628 182","1 442 079","317 259","220 105","1 090 818","380 509","80 044","87 714","54 325","11 951","34 882","40 881","28 005","0","6 161","0","0","0","6 161","2","0","0","653","0","381 162","80 044","10 630","0","0","3","0","0","1 411 647","853","2 070"
"Республика Калмыкия","########","########","15 312","########","########","########","12 995","462 194","451 680","9 483 453","592","3 078 533","3 008 765","########","694","34 652","34 910","533 621","14","0","0","0","0","1 033 318","1 026 151","########","385","32 109","35 526","390 786","12","0","4 562 577","4 495 398","########","604","4 579 105","4 579 105","########","690","2 597","2 597","14 404","19","0","0","0","0","0","0","0","0","0","15 517","15 512","93 071","23","1 299","1 312","76 655","4","123","123","617","1","4 466","4 466","21 302","3","1 681 940","1 685 335","########","3 442","270 271","270 139","181","0","0","0","302 716","303 680","403","24 432","24 649","128","0","0","0","1 166","1 166","8","1 569","1 569","3","481","465","12","89","81","1","########","########","6 766","7 846 707","7 867 056","5 493","1 012 052","1 009 808","91","125 505","125 505","27","223 859","224 198","198","4 466","4 466","3","1 398 398","1 390 441","2 411","5 847","5 847","14","12","12","2","0","0","0","4 655","4 656","7","########","########","15 393","0","0","0","0","0","0","1 460 730","1 460 955","13","342 657","342 657","14","1 096 931","0","########","8 358 498","3 077 424","2 290 206","503 845","182 419","2 391 160","0","78 924","3 946","0","0","0","3 946","0","6","0","314 786","330 788","85 792","10 553","2 322","6 373","77 097","0","0","0","0","0","0","0","0","0","0","########","3 163 216","2 300 759","506 167","188 792","2 468 257","2 172 657","1 427 675","549 368","464 265","102 138","7 794","439 436","833","20 771","1 222","833","183","460","579","2","5","0","59 716","18 801","2 232 373","1 446 476","1 067","0","0","1","0","0","1 096 931","85 444","4 657"
"Карачаево-Черкесская Республика","########","########","2 404","719 805","695 192","########","872","49 817","48 109","1 010 281","62","120 806","120 806","1 725 805","23","1 545","1 545","23 618","1","0","0","0","0","1 684 793","1 681 261","########","263","23 190","9 060","99 662","7","0","6 675 953","6 591 831","########","733","5 272 286","5 272 286","########","651","3 262","3 262","18 090","16","0","0","0","0","0","0","0","0","0","7 315","5 129","30 179","22","1 759","1 759","233 519","2","0","0","0","0","78 737","78 737","376 016","13","3 005 052","2 900 749","########","577","715 917","715 111","293","38","38","1","745 942","745 149","456","7 683","7 683","25","0","0","0","14","14","2","86","86","2","0","0","0","918","918","2","########","########","1 664","########","########","1 589","193 003","193 003","32","49 140","49 140","15","599 090","592 203","258","74 795","74 795","11","2 371 026","2 272 307","504","2 816","2 911","11","0","0","0","0","0","0","3 113","3 083","7","3 169 145","3 074 179","2 400","0","0","0","0","0","0","196 028","211 067","24","73 285","72 819","28","2 488 420","0","3 114 002","404 709","705 317","617 858","135 928","62 521","506 868","20 135","0","4 430","2 410","530","0","3 900","4","0","0","654 436","0","143 976","360 874","79 392","0","64 584","0","0","0","0","0","0","0","0","0","0","3 768 438","849 293","978 732","215 320","62 521","571 452","414 789","21 795","92 344","58 169","12 797","47 105","32 442","0","0","0","0","0","0","0","0","0","0","0","0","414 789","21 795","1 409","0","0","2","0","0","2 488 420","47 635","3 048"
"Республика Карелия","########","########","5 342","1 246 308","1 244 194","########","2 032","19 993","19 959","418 803","80","109 638","109 888","1 569 834","32","2 892","2 892","44 206","1","0","0","0","0","2 674 513","2 674 005","########","521","772","772","8 487","3","0","########","########","########","1 635","########","########","########","1 533","79 628","79 628","441 320","27","0","0","0","0","0","0","0","0","0","88 526","88 759","521 056","27","615","615","17 803","3","4","4","82","1","102 940","102 731","503 733","74","6 143 883","6 126 903","########","2 478","2 396 463","2 394 909","692","1 515","1 515","5","2 616 389","2 603 576","1 279","31 677","31 447","670","0","0","0","28","28","3","0","0","0","174","4","1","18","18","3","########","########","3 859","########","########","3 335","205 334","205 413","79","212 846","212 846","62","2 183 780","2 185 479","594","100 990","100 646","68","5 373 745","5 358 263","2 168","16 295","16 244","91","0","0","0","0","0","0","439 908","440 475","70","########","########","5 697","0","0","0","0","0","0","3 841 203","3 840 155","228","503 703","511 464","63","########","0","########","4 343 390","3 391 557","3 095 701","681 054","342 080","2 368 423","0","3","0","0","0","0","0","0","1","0","4 743 116","43 213","1 045 646","1 526 177","335 759","2 558","707 329","0","0","0","0","0","0","0","0","0","0","########","4 437 203","4 621 878","1 016 813","344 638","3 075 752","527 300","12 452","116 630","30 580","6 727","3 245","106 658","2 964","0","652","2 964","652","0","0","2","0","0","1 523 107","883","2 050 407","13 335","1 136","0","0","1","0","0","########","154 907","438 824"
"Республика Коми","########","########","4 706","1 487 633","1 467 497","########","2 307","26 079","35 016","735 345","99","84 777","84 689","1 209 844","20","0","0","0","0","0","0","0","0","1 706 782","1 705 050","########","354","1 927","1 927","21 194","2","0","########","########","########","1 208","########","########","########","1 103","72 663","72 663","402 950","21","0","0","0","0","0","0","0","0","0","69 992","72 213","433 276","17","0","0","0","0","0","0","0","0","223 515","229 775","1 142 303","55","########","########","########","1 826","2 229 221","2 066 354","398","2 132","2 132","2","3 971 522","3 317 888","865","70 772","69 941","1 072","0","0","0","187","187","11","221","221","2","491","445","3","0","0","0","########","########","2 894","########","########","2 466","827 269","827 269","29","89 826","89 826","23","2 994 732","2 598 245","349","224 487","229 774","54","########","########","1 504","52 458","52 382","92","0","0","0","0","0","0","418 873","418 873","26","########","########","5 440","0","0","0","0","0","0","2 327 057","2 329 500","142","2 066 553","2 066 566","47","########","0","########","2 820 271","2 706 225","1 707 252","375 595","102 525","2 228 105","0","0","0","0","0","0","0","0","0","0","########","19 561","8 337 637","87 875","19 333","1 961","8 316 343","0","0","0","0","0","0","0","0","0","0","########","########","1 795 127","394 928","104 486","########","1 562 055","58 907","346 598","31 408","6 910","4 175","335 513","0","0","0","0","0","0","0","0","0","0","252 124","408","1 814 179","59 315","0","0","0","0","0","0","########","66 493","418 468"
